"group","n","cimt_left_m","cimt_left_sd","cimt_left_se","cimt_left_min","cimt_left_max","cimt_right_m","cimt_right_sd","cimt_right_se","cimt_right_min","cimt_right_max","cimt_comb_m","cimt_comb_sd","cimt_comb_se","cimt_comb_min","cimt_comb_max"
"Control",19,0.565789473684211,0.0980415766256258,0.0224922802513949,0.406666666666667,0.726666666666667,0.572982456140351,0.116740160644109,0.0267820296263356,0.403333333333333,0.846666666666667,0.569385964912281,0.104153273992855,0.0238943997880926,0.405,0.756666666666667
"Grappler",19,0.546666666666667,0.0651683479938452,0.0149506443801402,0.436666666666667,0.646666666666667,0.55280701754386,0.0837932726453072,0.0192234951373392,0.423333333333333,0.716666666666667,0.549736842105263,0.0694250265249658,0.0159271934092082,0.456666666666667,0.673333333333333
