"group","grouptraumahx","n","nfl_m","nfl_sd","nfl_se","hgfap_m","hgfap_sd","hgfap_se","tau_m","tau_sd","tau_se","l1_m","l1_sd","l1_se"
"Control","No Trauma",19,7.74421052631579,1.90353856391918,0.436701696592433,87.1063157894737,31.9427943901327,7.32817961688875,2.29947368421053,0.753528541700907,0.172871303386728,11.8926315789474,5.82878188351683,1.33721427337845
"Grappler","No Trauma",11,8.95363636363636,4.16612355248203,1.25613351398594,69.5572727272727,19.6682323002903,5.93019516632832,3.08727272727273,1.275767148888,0.384658268429361,14.4418181818182,12.3586437914375,3.72627130671395
"Grappler","Trauma",9,10.37,3.84540635043944,1.28180211681315,85.7455555555556,30.7026778600463,10.2342259533488,2.71555555555556,1.60976792668315,0.536589308894384,33.0111111111111,57.0894150531525,19.0298050177175
