"group","n","nfl_m","nfl_sd","nfl_se","hgfap_m","hgfap_sd","hgfap_se","tau_m","tau_sd","tau_se","l1_m","l1_sd","l1_se"
"Control",19,7.74421052631579,1.90353856391918,0.436701696592433,87.1063157894737,31.9427943901327,7.32817961688875,2.29947368421053,0.753528541700907,0.172871303386728,11.8926315789474,5.82878188351683,1.33721427337845
"Grappler",20,9.591,3.9854550027503,0.891174830741628,76.842,25.8607897872639,5.78264839161544,2.92,1.40844445736198,0.314937754919419,22.798,39.2748905455944,8.78213250688129
